"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2006-02-10,"2006w06",58.83,0.678,86.74,78.6,0,11.8,12.1,93.8,105.9,105.9,17.9,15.0944327573789,63.3,0,15.9,63.6,79.6,143.2,143.2,15.3,14.1885718389768,93.8
2006-02-17,"2006w07",56.38,0.675,83.53,78.8,0,11.8,12.1,93.8,105.9,105.9,15.2,15.0724426950937,62.6,0,15.8,63.4,78.5,141.9,141.9,15.2,14.2528365671917,93.8
2006-02-24,"2006w08",56.02,0.664,84.37,80.8,0,11.8,12.2,94.2,106.3,106.3,15.3,15.0504526328085,66.5,0,16.1,63.7,80.8,144.5,144.5,18.1,14.3171012954066,94.1
2006-03-03,"2006w09",57.61,0.663,86.94,80.6,0,12,12.3,95.3,107.6,107.6,14.5,15.0553299557214,67.1,0,16.4,64.1,83.8,147.9,147.9,17.3,14.3603171176579,95.3
2006-03-10,"2006w10",58.15,0.654,88.94,83.3,0,11.9,12.3,94.9,107.2,107.2,14.3,15.0602072786344,68,0,16.6,64.2,84.9,149.2,149.2,17.8,14.4035329399092,94.9
2006-03-17,"2006w11",57.25,0.642,89.14,84.8,0,12.1,12.5,96.4,108.9,108.9,13.2,15.0650846015473,70.1,0,16.6,64.3,85.2,149.5,149.5,17.2,14.4467487621605,96.4
2006-03-24,"2006w12",56.98,0.625,91.2,83.8,0,12.4,12.8,99,111.8,111.8,14.2,15.0699619244602,71.7,0,16.9,64.5,87.2,151.8,151.8,17.1,14.4899645844118,99
2006-03-31,"2006w13",58.18,0.608,95.74,87.2,0,12.8,13.2,102,115.2,115.2,18.2,15.0748392473731,76.3,0,17.2,64.9,90.3,155.2,155.2,18.6,14.5331804066632,102
2006-04-07,"2006w14",61.13,0.611,100.02,89.7,0,13,13.3,103.6,116.9,116.9,16.4,15.0797165702861,79.1,0,17.4,65.7,90.5,156.2,156.2,14.1,14.5763962289145,103.6
2006-04-14,"2006w15",62.65,0.613,102.16,92.5,0,13.4,13.7,106.6,120.3,120.3,16.9,15.084593893199,83.4,0,17.7,66.1,93.3,159.3,159.3,14.1,14.6196120511658,106.6
2006-04-21,"2006w16",65.75,0.628,104.64,97,0,13.7,14,108.9,122.9,122.9,16.4,15.0894712161119,86.7,0,18.3,66.6,97.8,164.5,164.5,14.5,14.6628278734171,108.9
2006-04-28,"2006w17",66.49,0.631,105.35,100.2,0,13.8,14.2,110.2,124.3,124.3,13.2,15.1033365286389,87.3,0,18.8,67.1,101.6,168.8,168.8,15,14.6579436772006,110.1
2006-05-05,"2006w18",66.81,0.638,104.65,101.1,0,14.2,14.6,113.3,127.9,127.9,13.2,15.1172018411659,92,0,19,67.4,103.5,170.9,170.9,16.2,14.653059480984,113.3
2006-05-12,"2006w19",65.78,0.632,104.03,101.7,0,14.2,14.6,113.3,127.9,127.9,12.3,15.1310671536928,92.5,0,19,67.4,103.5,170.9,170.9,11.6,14.6481752847675,113.3
2006-05-19,"2006w20",63.65,0.623,102.09,101.2,0,14.2,14.6,113.3,127.9,127.9,11.6,15.1449324662198,93.9,0,19,67.4,103.5,170.9,170.9,11,14.643291088551,113.3
2006-05-26,"2006w21",64.35,0.629,102.38,96.5,0,14.2,14.6,113.3,127.9,127.9,12.1,15.1587977787468,92.1,0,19,67.4,103.5,170.9,170.9,9.6,14.6384068923345,113.3
2006-06-02,"2006w22",65.32,0.635,102.91,96,0,14.2,14.6,113.3,127.9,127.9,16.9,15.1726630912737,90,0,19,67.4,103.5,170.9,170.9,11.5,14.633522696118,113.3
